Rk,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards
1,Corey Bojorquez,29,CLE,P,17,0,91,4165,45.8,522,3443,37,67,11,12.1,23,25.3,2,
2,Johnny Hekker,35,TEN,P,17,0,78,3653,46.8,370,3147,40.3,65,7,9,22,28.2,0,
3,Jeremy Crawshaw,24,DEN,P,17,0,75,3573,47.6,308,3085,41.1,76,9,12,30,40,0,
4,Braden Mann,28,PHI,P,17,0,72,3591,49.9,350,3101,43.1,70,8,11.1,20,27.8,0,
5,Tommy Townsend,29,HOU,P,17,0,72,3424,47.6,331,2998,41.6,73,5,6.9,30,41.7,0,
6,AJ Cole III,30,LVR,P,17,0,71,3379,47.6,349,2944,40.3,64,4,5.6,24,33.8,2,
7,Austin McNamara,24,NYJ,P,17,0,71,3317,46.7,133,3064,43.2,72,6,8.5,32,45.1,0,
8,Ryan Rehkow,27,CIN,P,17,0,65,3285,50.5,277,2788,42.9,70,11,16.9,28,43.1,0,
9,Ryan Wright,25,MIN,P,17,0,65,3184,49,231,2893,44.5,77,3,4.6,25,38.5,0,
10,Bradley Pinion,31,ATL,P,17,0,64,2889,45.1,240,2598,40.6,69,3,4.7,34,53.1,0,
11,Jake Bailey,28,MIA,P,17,0,63,3005,47.7,265,2683,42.6,64,3,4.8,21,33.3,0,
12,Riley Dixon,32,TAM,P,17,0,63,2815,44.7,206,2529,38.9,62,4,6.3,29,46,2,
13,Corliss Waitman,30,PIT,P,17,0,62,2823,45.5,175,2589,41.8,67,3,4.8,26,41.9,0,
14,Logan Cooke,30,JAX,P,17,0,60,2878,48,178,2580,43,66,6,10,22,36.7,0,
15,JK Scott,30,LAC,P,17,0,60,2871,47.9,309,2486,41.4,60,4,6.7,23,38.3,0,
16,Tory Taylor,28,CHI,P,17,0,60,2870,47.8,306,2424,40.4,69,7,11.7,21,35,0,
17,Matt Araiza,25,KAN,P,17,0,56,2664,47.6,291,2313,41.3,69,3,5.4,25,44.6,0,
18,Jack Fox,29,DET,P,17,0,56,2611,46.6,236,2398,42.8,70,2,3.6,28,50,0,
19,Kai Kroeger,23,NOR,P,17,0,56,2511,44.8,268,2163,37.3,61,4,7.1,18,32.1,2,
20,Sam Martin,35,CAR,P,17,0,56,2642,47.2,313,2269,40.5,68,3,5.4,27,48.2,0,
21,Tress Way,35,WAS,P,17,0,56,2651,47.3,114,2457,43.9,71,4,7.1,29,51.8,0,PB
22,Jamie Gillan,28,NYG,P,16,0,55,2445,44.5,277,2088,38,69,4,7.3,17,30.9,0,
23,Jordan Stout,27,BAL,P,17,0,53,2657,50.1,159,2378,44.9,74,6,11.3,24,45.3,0,PBAP-1
24,Michael Dickson,29,SEA,P,17,0,52,2548,49,296,2193,42.2,60,3,5.8,20,38.5,0,AP-2
25,Bryce Baringer,26,NWE,P,17,0,51,2416,47.4,265,2071,40.6,73,4,7.8,21,41.2,0,
26,Ethan Evans,24,LAR,P,17,0,50,2315,46.3,336,1899,38,68,4,8,20,40,0,
27,Daniel Whelan,26,GNB,P,17,0,49,2533,51.7,222,2171,44.3,72,8,16.3,18,36.7,0,
28,Thomas Morstead,39,SFO,P,17,0,44,1919,43.6,283,1616,36.7,55,1,2.3,22,50,0,
29,Rigoberto Sanchez,31,IND,P,17,0,44,2146,48.8,120,1966,44.7,59,3,6.8,22,50,0,
30,Bryan Anger,37,DAL,P,17,0,41,1994,48.6,246,1748,42.6,65,0,0,14,34.1,0,
31,Mitch Wishnowsky,33,BUF,P,13,0,38,1723,45.3,73,1590,41.8,62,3,7.9,18,47.4,0,
32,Matt Haack,31,ARI,P,7,0,25,1283,51.3,198,1085,43.4,65,0,0,10,40,0,
33,Blake Gillikin,27,ARI,P,5,0,22,1138,51.7,99,999,45.4,63,2,9.1,8,36.4,0,
34,Pat O'Donnell,34,ARI,P,5,0,12,506,42.2,15,471,36.2,49,1,8.3,3,25,1,
35,Cameron Johnston,33,2TM,P,4,0,11,490,44.5,134,356,32.4,49,0,0,2,18.2,0,
35,Cameron Johnston,33,BUF,P,3,0,7,308,44,43,265,37.9,48,0,0,2,28.6,0,
35,Cameron Johnston,33,NYG,P,1,0,4,182,45.5,91,91,22.8,49,0,0,0,0,0,
36,Brad Robbins,27,BUF,P,1,0,4,158,39.5,6,152,38,48,0,0,1,25,0,
37,Daniel Carlson,30,LVR,K,17,0,1,30,30,0,30,30,30,0,0,0,0,0,